word,frequency
ukuba,3050
okanye,924
kwaye,884
ke,869
xa,846
kunye,809
le,630
oku,506
kodwa,475
kuba,462
apho,443
na,439
abantu,419
kufuneka,417
lo,372
emva,370
ukuze,363
ezi,349
izikolo,348
zonke,346
nto,343
oko,328
abafundi,317
kule,310
kakhulu,284
yaye,281
kuya,267
ngoko,265
ngoku,261
ngayo,261
afrika,257
into,253
umntu,249
ngenxa,247
ziya,246
kulo,246
kuphela,246
nje,246
eli,241
izinto,231
iya,226
kwakhona,221
apha,211
kakuhle,211
bonke,204
abo,202
kukho,198
zabo,198
phantsi,197
ootitshala,190
njengoko,187
yokuba,187
kokuba,186
isebe,184
indlela,179
nokuba,179
ukuya,179
kweli,176
ukususela,175
kuzo,174
phakathi,173
umsebenzi,171
malunga,170
phambi,166
imali,166
loo,165
kuyo,163
kuthi,161
isikolo,158
lemfundo,156
ukwenzela,154
sele,152
ixesha,152
ngendlela,152
akukho,151
koko,151
yonke,146
inkqubo,145
onke,143
esikolweni,139
kwakunye,136
esi,134
baya,134
ngamnye,132
koloni,132
ngaphandle,130
urhulumente,129
nyaka,126
kwezi,124
enye,124
nabo,122
ngako,122
karhulumente,122
uza,121
uthi,121
khona,118
ikhabhinethi,117
iza,117
leyo,116
kuye,115
ithuba,114
phambili,114
iqela,114
zethu,113
umthetho,113
ukwenza,112
kunjalo,112
liya,111
la,111
abantwana,111
yethu,108
wonke,107
nganye,106
olu,106
hlobo,106
yabo,106
kwindawo,105
uya,104
kube,102
yakhe,100
iinqununu,99
ngethuba,99
kucelwa,98
lokuba,98
indawo,97
iwced,96
utshilo,96
en,95
nangona,95
ezo,94
ezinye,94
kuza,93
uluntu,91
imisebenzi,91
nkqubo,90
ezikolweni,90
omnye,90
babo,89
ngalo,88
siya,87
kwabo,86
inxaxheba,86
ubomi,86
ezininzi,86
ngakumbi,86
ibe,85
kuwo,85
xesha,83
iziphumo,83
ngokupheleleyo,83
iincwadi,83
abaviwa,82
njani,82
aba,82
ukulungiselela,82
ukuqinisekisa,82
inani,81
ngexesha,81
yakho,81
ngokuba,80
kwenziwa,80
ingakumbi,79
imeko,79
lonke,79
e,78
siza,78
abanye,76
ezimbini,76
kukuba,76
izifundo,75
amathuba,75
umfundi,75
aya,75
a,75
wakhe,74
kanye,74
kuthetha,74
ngasinye,74
konke,74
zize,74
iindlela,74
ngomhla,73
k,73
ingcaciso,72
lakhe,72
and,72
zazo,72
ukufumana,72
kuquka,72
iinkcukacha,71
ndawo,71
de,70
eso,70
izicelo,70
ndlela,70
icandelo,69
elo,69
bethu,69
abaninzi,68
isicelo,68
ingxelo,68
kwenza,68
ekubeni,67
ngawo,67
uninzi,66
naye,66
umdlalo,66
kunyaka,66
uye,66
kubo,66
amaqela,66
